Incidente;Fecha;Departamento;Zona;Clase de sitio;Arma empleada;Edad;Sexo;Estado civil;Clase de empleado
5575;04/04/2014;VALLE;URBANA;DENTRO DE LA VIVIENDA;ARMA DE FUEGO;70;FEMENINO;SOLTERO;INDEPENDIENTE
8504;27/05/2014;CUNDINAMARCA;URBANA;CASAS DE HABITACION;CONTUNDENTES;21;MASCULINO;UNION LIBRE;EMPLEADO PARTICULAR
9793;21/06/2014;ANTIOQUIA;URBANA;DENTRO DE LA VIVIENDA;SIN EMPLEO DE ARMAS;33;MASCULINO;SEPARADO;EMPLEADO PARTICULAR
13844;30/08/2014;BOYACÁ;RURAL;CASAS DE HABITACION;SIN EMPLEO DE ARMAS;17;MASCULINO;UNION LIBRE;AGRICULTOR
6728;26/04/2014;HUILA;URBANA;FINCAS Y SIMILARES;SIN EMPLEO DE ARMAS;43;MASCULINO;CASADO;EMPLEADO PARTICULAR
2718;13/02/2014;HUILA;URBANA;APARTAMENTO;SIN EMPLEO DE ARMAS;27;MASCULINO;CASADO;EMPLEADO PARTICULAR
533;09/01/2014;META;RURAL;FINCAS Y SIMILARES;CONTUNDENTES;37;MASCULINO;UNION LIBRE;INDEPENDIENTE
18963;25/11/2014;SUCRE;RURAL;FINCAS Y SIMILARES;ARMA DE FUEGO;40;MASCULINO;UNION LIBRE;EMPLEADO PARTICULAR
16720;12/10/2014;VALLE;URBANA;CASAS DE HABITACION;CONTUNDENTES;67;MASCULINO;DIVORCIADO;INDEPENDIENTE
13376;22/08/2014;ARAUCA;URBANA;CASAS DE HABITACION;CONTUNDENTES;25;FEMENINO;SOLTERO;EMPLEADO PARTICULAR
11039;13/07/2014;CUNDINAMARCA;URBANA;APARTAMENTO;CONTUNDENTES;62;FEMENINO;SOLTERO;INDEPENDIENTE
8177;21/05/2014;CUNDINAMARCA;URBANA;APARTAMENTO;ARMA DE FUEGO;36;FEMENINO;SOLTERO;EMPLEADO PARTICULAR
7396;08/05/2014;CUNDINAMARCA;URBANA;CASAS DE HABITACION;ARMA DE FUEGO;52;FEMENINO;UNION LIBRE;INDEPENDIENTE
6515;22/04/2014;HUILA;URBANA;CASAS DE HABITACION;SIN EMPLEO DE ARMAS;24;FEMENINO;UNION LIBRE;EMPLEADO POLICIAL
12080;01/08/2014;CHOCÓ;URBANA;DENTRO DE LA VIVIENDA;CONTUNDENTES;54;MASCULINO;SOLTERO;EMPLEADO PARTICULAR
18528;16/11/2014;SANTANDER;URBANA;APARTAMENTO;CONTUNDENTES;32;MASCULINO;CASADO;EMPLEADO PUBLICO
16968;17/10/2014;HUILA;URBANA;VIAS PUBLICAS;SIN EMPLEO DE ARMAS;58;MASCULINO;DIVORCIADO;PENSIONADO
11570;22/07/2014;HUILA;URBANA;CASAS DE HABITACION;SIN EMPLEO DE ARMAS;34;MASCULINO;SOLTERO;INDEPENDIENTE
8022;19/05/2014;ANTIOQUIA;URBANA;CASAS DE HABITACION;SIN EMPLEO DE ARMAS;46;MASCULINO;SOLTERO;COMERCIANTE
15538;23/09/2014;VALLE;URBANA;DENTRO DE LA VIVIENDA;ARMA DE FUEGO;44;MASCULINO;UNION LIBRE;EMPLEADO PARTICULAR
4251;12/03/2014;META;URBANA;VIAS PUBLICAS;SIN EMPLEO DE ARMAS;25;MASCULINO;SOLTERO;INDEPENDIENTE
2729;13/02/2014;QUINDÍO;RURAL;FINCAS Y SIMILARES;SIN EMPLEO DE ARMAS;37;MASCULINO;CASADO;AGRICULTOR
2355;08/02/2014;CÓRDOBA;RURAL;TIENDA;CORTANTES;41;MASCULINO;UNION LIBRE;COMERCIANTE
10134;27/06/2014;TOLIMA;URBANA;APARTAMENTO EN CONJUNTO CERRADO;CONTUNDENTES;39;FEMENINO;SOLTERO;EMPLEADO PARTICULAR
6879;29/04/2014;CAUCA;RURAL;CASAS DE HABITACION;CONTUNDENTES;50;FEMENINO;SOLTERO;INDEPENDIENTE
11479;20/07/2014;RISARALDA;URBANA;CASAS DE HABITACION;SIN EMPLEO DE ARMAS;40;FEMENINO;UNION LIBRE;EMPLEADO PUBLICO
12568;09/08/2014;CUNDINAMARCA;URBANA;CASAS DE HABITACION;SIN EMPLEO DE ARMAS;41;FEMENINO;CASADO;COMERCIANTE
6769;27/04/2014;CUNDINAMARCA;URBANA;APARTAMENTO EN CONJUNTO CERRADO;CONTUNDENTES;64;MASCULINO;SOLTERO;INDEPENDIENTE
6431;20/04/2014;SANTANDER;URBANA;CASAS DE HABITACION;SIN EMPLEO DE ARMAS;31;MASCULINO;SOLTERO;EMPLEADO PARTICULAR
7359;07/05/2014;SANTANDER;URBANA;CASAS DE HABITACION;CONTUNDENTES;38;MASCULINO;UNION LIBRE;COMERCIANTE
13851;30/08/2014;CAUCA;URBANA;CASAS DE HABITACION;SIN EMPLEO DE ARMAS;38;MASCULINO;UNION LIBRE;EMPLEADO PARTICULAR
10694;07/07/2014;CAQUETÁ;RURAL;FINCAS Y SIMILARES;SIN EMPLEO DE ARMAS;69;MASCULINO;UNION LIBRE;AGRICULTOR
11094;14/07/2014;CUNDINAMARCA;URBANA;APARTAMENTO;SIN EMPLEO DE ARMAS;69;FEMENINO;SOLTERO;INDEPENDIENTE
16994;17/10/2014;VALLE;URBANA;CASAS DE HABITACION;CONTUNDENTES;64;MASCULINO;SOLTERO;COMERCIANTE
18936;25/11/2014;HUILA;URBANA;CASAS DE HABITACION;CONTUNDENTES;37;MASCULINO;UNION LIBRE;EMPLEADO PARTICULAR
19722;11/12/2014;SANTANDER;RURAL;FINCAS Y SIMILARES;CONTUNDENTES;53;MASCULINO;UNION LIBRE;AGRICULTOR
4785;21/03/2014;ATLÁNTICO;URBANA;DENTRO DE LA VIVIENDA;CONTUNDENTES;31;FEMENINO;CASADO;EMPLEADO PARTICULAR
13250;19/08/2014;VALLE;URBANA;DENTRO DE LA VIVIENDA;CONTUNDENTES;35;MASCULINO;UNION LIBRE;EMPLEADO PARTICULAR
4910;23/03/2014;MAGDALENA;URBANA;CASAS DE HABITACION;CONTUNDENTES;49;MASCULINO;CASADO;EMPLEADO PARTICULAR
5616;05/04/2014;META;URBANA;CASAS DE HABITACION;SIN EMPLEO DE ARMAS;52;MASCULINO;CASADO;COMERCIANTE
13939;31/08/2014;SANTANDER;URBANA;APARTAMENTO;CONTUNDENTES;34;MASCULINO;CASADO;EMPLEADO PARTICULAR
5654;06/04/2014;CUNDINAMARCA;URBANA;APARTAMENTO;CONTUNDENTES;34;MASCULINO;SOLTERO;INDEPENDIENTE
10362;01/07/2014;SUCRE;URBANA;VIAS PUBLICAS;CONTUNDENTES;30;MASCULINO;SOLTERO;EMPLEADO PARTICULAR
20275;22/12/2014;HUILA;RURAL;CASAS DE HABITACION;SIN EMPLEO DE ARMAS;40;MASCULINO;CASADO;INDEPENDIENTE
15002;15/09/2014;VALLE;URBANA;CASAS DE HABITACION;ARMA DE FUEGO;47;MASCULINO;CASADO;INDEPENDIENTE
8409;25/05/2014;CUNDINAMARCA;URBANA;APARTAMENTO;CONTUNDENTES;32;FEMENINO;CASADO;EMPLEADO PARTICULAR
2254;06/02/2014;TOLIMA;URBANA;FINCAS Y SIMILARES;SIN EMPLEO DE ARMAS;59;MASCULINO;SOLTERO;AGRICULTOR
426;07/01/2014;TOLIMA;RURAL;FINCAS Y SIMILARES;CONTUNDENTES;44;MASCULINO;UNION LIBRE;EMPLEADO PARTICULAR
7272;06/05/2014;CUNDINAMARCA;URBANA;APARTAMENTO;CONTUNDENTES;48;FEMENINO;SOLTERO;INDEPENDIENTE
4822;21/03/2014;QUINDÍO;RURAL;FINCAS Y SIMILARES;SIN EMPLEO DE ARMAS;33;MASCULINO;UNION LIBRE;AGRICULTOR
9796;21/06/2014;ATLÁNTICO;URBANA;APARTAMENTO;CONTUNDENTES;62;MASCULINO;SOLTERO;INDEPENDIENTE
13445;23/08/2014;CASANARE;RURAL;CASAS DE HABITACION;CONTUNDENTES;22;MASCULINO;UNION LIBRE;INDEPENDIENTE
494;09/01/2014;ANTIOQUIA;URBANA;DENTRO DE LA VIVIENDA;SIN EMPLEO DE ARMAS;60;FEMENINO;SOLTERO;EMPLEADO PARTICULAR
6058;13/04/2014;TOLIMA;URBANA;CASAS DE HABITACION;CONTUNDENTES;70;MASCULINO;SOLTERO;COMERCIANTE
13892;30/08/2014;SUCRE;URBANA;OFICINAS;CONTUNDENTES;42;MASCULINO;UNION LIBRE;EMPLEADO PARTICULAR
3046;19/02/2014;BOYACÁ;URBANA;CASAS DE HABITACION;SIN EMPLEO DE ARMAS;54;MASCULINO;SOLTERO;ESTUDIANTE
5380;01/04/2014;SANTANDER;URBANA;CASAS DE HABITACION;ARMA BLANCA / CORTOPUNZANTE;49;MASCULINO;UNION LIBRE;EMPLEADO PARTICULAR
6782;27/04/2014;NARIÑO;RURAL;COLEGIOS, ESCUELAS;SIN EMPLEO DE ARMAS;52;MASCULINO;UNION LIBRE;EMPLEADO PARTICULAR
6003;12/04/2014;VALLE;URBANA;CASAS DE HABITACION;CONTUNDENTES;35;FEMENINO;UNION LIBRE;EMPLEADO PARTICULAR
15935;30/09/2014;CUNDINAMARCA;URBANA;CASAS DE HABITACION;SIN EMPLEO DE ARMAS;31;FEMENINO;UNION LIBRE;EMPLEADO PARTICULAR
2936;17/02/2014;CUNDINAMARCA;URBANA;CASAS DE HABITACION;CONTUNDENTES;28;FEMENINO;UNION LIBRE;EMPLEADO PARTICULAR
7480;09/05/2014;SANTANDER;URBANA;APARTAMENTO;CONTUNDENTES;30;FEMENINO;SOLTERO;EMPLEADO SALUD
17375;25/10/2014;CAQUETÁ;URBANA;VIAS PUBLICAS;SIN EMPLEO DE ARMAS;44;MASCULINO;UNION LIBRE;INDEPENDIENTE
20230;21/12/2014;PUTUMAYO;URBANA;CASAS DE HABITACION;CONTUNDENTES;48;FEMENINO;SOLTERO;EMPLEADO PARTICULAR
17700;01/11/2014;ANTIOQUIA;URBANA;CONJUNTO RESIDENCIAL;SIN EMPLEO DE ARMAS;38;FEMENINO;DIVORCIADO;INDEPENDIENTE
4388;14/03/2014;TOLIMA;URBANA;CASAS DE HABITACION;CONTUNDENTES;42;FEMENINO;DIVORCIADO;AMA DE CASA
5054;26/03/2014;CUNDINAMARCA;URBANA;CASAS DE HABITACION;CONTUNDENTES;63;MASCULINO;CASADO;PENSIONADO
19856;14/12/2014;ARAUCA;URBANA;DENTRO DE LA VIVIENDA;CONTUNDENTES;58;MASCULINO;UNION LIBRE;EMPLEADO PARTICULAR
4330;14/03/2014;ANTIOQUIA;URBANA;CASAS DE HABITACION;CONTUNDENTES;30;MASCULINO;SOLTERO;EMPLEADO PARTICULAR
4909;23/03/2014;HUILA;URBANA;CASAS DE HABITACION;SIN EMPLEO DE ARMAS;41;FEMENINO;CASADO;INDEPENDIENTE
19388;05/12/2014;ANTIOQUIA;RURAL;FINCAS Y SIMILARES;ARMA DE FUEGO;32;MASCULINO;UNION LIBRE;EMPLEADO PARTICULAR
16269;05/10/2014;HUILA;RURAL;CASAS DE HABITACION;ARMA DE FUEGO;28;MASCULINO;UNION LIBRE;AGRICULTOR
4455;16/03/2014;ARAUCA;URBANA;CASAS DE HABITACION;SIN EMPLEO DE ARMAS;44;FEMENINO;UNION LIBRE;AMA DE CASA
17940;05/11/2014;SANTANDER;URBANA;CASAS DE HABITACION;CONTUNDENTES;60;MASCULINO;SOLTERO;EMPLEADO PARTICULAR
2888;16/02/2014;MAGDALENA;URBANA;CASAS DE HABITACION;CONTUNDENTES;43;MASCULINO;CASADO;EMPLEADO PARTICULAR
8858;02/06/2014;CUNDINAMARCA;URBANA;APARTAMENTO;CONTUNDENTES;39;FEMENINO;SOLTERO;INDEPENDIENTE
20260;22/12/2014;CHOCÓ;URBANA;CASAS DE HABITACION;CONTUNDENTES;22;MASCULINO;UNION LIBRE;ESTUDIANTE
5560;04/04/2014;NARIÑO;URBANA;CASAS DE HABITACION;SIN EMPLEO DE ARMAS;32;FEMENINO;UNION LIBRE;EMPLEADO PARTICULAR
9809;21/06/2014;CHOCÓ;URBANA;AEROPUERTO;SIN EMPLEO DE ARMAS;40;MASCULINO;UNION LIBRE;EMPLEADO PARTICULAR
14363;06/09/2014;ANTIOQUIA;URBANA;DENTRO DE LA VIVIENDA;CONTUNDENTES;59;MASCULINO;CASADO;INDEPENDIENTE
14308;05/09/2014;CHOCÓ;URBANA;VIAS PUBLICAS;CONTUNDENTES;39;FEMENINO;UNION LIBRE;EMPLEADO PARTICULAR
6867;28/04/2014;VALLE;URBANA;CASAS DE HABITACION;CORTANTES;29;FEMENINO;UNION LIBRE;EMPLEADO PARTICULAR
7264;06/05/2014;CALDAS;URBANA;APARTAMENTO;CONTUNDENTES;18;FEMENINO;SOLTERO;ESTUDIANTE
17084;19/10/2014;NARIÑO;URBANA;FINCAS Y SIMILARES;CONTUNDENTES;45;FEMENINO;SOLTERO;EMPLEADO PARTICULAR
18614;18/11/2014;CUNDINAMARCA;URBANA;CASAS DE HABITACION;CONTUNDENTES;30;MASCULINO;CASADO;INDEPENDIENTE
14277;04/09/2014;TOLIMA;URBANA;CASAS DE HABITACION;SIN EMPLEO DE ARMAS;42;FEMENINO;SOLTERO;AMA DE CASA
2432;09/02/2014;META;URBANA;DENTRO DE LA VIVIENDA;SIN EMPLEO DE ARMAS;78;FEMENINO;CASADO;AMA DE CASA
6464;21/04/2014;CUNDINAMARCA;URBANA;CASAS DE HABITACION;SIN EMPLEO DE ARMAS;58;FEMENINO;UNION LIBRE;EMPLEADO PARTICULAR
14810;12/09/2014;SANTANDER;URBANA;CASAS DE HABITACION;CONTUNDENTES;50;MASCULINO;SOLTERO;COMERCIANTE
10951;11/07/2014;SUCRE;URBANA;COLEGIOS, ESCUELAS;CONTUNDENTES;42;MASCULINO;UNION LIBRE;EMPLEADO PARTICULAR
4837;22/03/2014;ANTIOQUIA;RURAL;FINCAS Y SIMILARES;SIN EMPLEO DE ARMAS;52;MASCULINO;CASADO;COMERCIANTE
9632;17/06/2014;NARIÑO;URBANA;APARTAMENTO;SIN EMPLEO DE ARMAS;28;FEMENINO;SOLTERO;ESTUDIANTE
13640;26/08/2014;RISARALDA;RURAL;FINCAS Y SIMILARES;SIN EMPLEO DE ARMAS;32;MASCULINO;SOLTERO;AGRICULTOR
20658;30/12/2014;PUTUMAYO;URBANA;CASAS DE HABITACION;CONTUNDENTES;42;FEMENINO;UNION LIBRE;AMA DE CASA
1096;18/01/2014;CALDAS;URBANA;CASAS DE HABITACION;SIN EMPLEO DE ARMAS;44;FEMENINO;SOLTERO;INDEPENDIENTE
11627;23/07/2014;HUILA;URBANA;CASAS DE HABITACION;SIN EMPLEO DE ARMAS;33;FEMENINO;CASADO;EMPLEADO PARTICULAR
4205;11/03/2014;RISARALDA;RURAL;FINCAS Y SIMILARES;ARMA BLANCA / CORTOPUNZANTE;56;FEMENINO;VIUDO;COMERCIANTE
3294;23/02/2014;CÓRDOBA;URBANA;CASAS DE HABITACION;CONTUNDENTES;23;FEMENINO;UNION LIBRE;AMA DE CASA
6184;16/04/2014;CUNDINAMARCA;URBANA;APARTAMENTO;CONTUNDENTES;25;MASCULINO;SOLTERO;EMPLEADO PARTICULAR
754;12/01/2014;SANTANDER;URBANA;CASAS DE HABITACION;CORTANTES;49;FEMENINO;CASADO;EMPLEADO PARTICULAR
9218;09/06/2014;CUNDINAMARCA;URBANA;CASAS DE HABITACION;CONTUNDENTES;30;FEMENINO;UNION LIBRE;INDEPENDIENTE
15157;18/09/2014;BOYACÁ;URBANA;CASAS DE HABITACION;SIN EMPLEO DE ARMAS;19;FEMENINO;SOLTERO;ESTUDIANTE
3655;01/03/2014;NORTE DE SANTANDER;URBANA;DENTRO DE LA VIVIENDA;SIN EMPLEO DE ARMAS;29;MASCULINO;UNION LIBRE;COMERCIANTE
2820;15/02/2014;CÓRDOBA;URBANA;CASAS DE HABITACION;SIN EMPLEO DE ARMAS;25;MASCULINO;SOLTERO;INDEPENDIENTE
4524;17/03/2014;CALDAS;URBANA;CASAS DE HABITACION;SIN EMPLEO DE ARMAS;78;MASCULINO;CASADO;PENSIONADO
15997;01/10/2014;CUNDINAMARCA;URBANA;APARTAMENTO;SIN EMPLEO DE ARMAS;27;FEMENINO;SOLTERO;DESEMPLEADO
18993;26/11/2014;NORTE DE SANTANDER;URBANA;CASAS DE HABITACION;CONTUNDENTES;47;MASCULINO;UNION LIBRE;COMERCIANTE
13754;28/08/2014;NORTE DE SANTANDER;URBANA;DENTRO DE LA VIVIENDA;ESCOPOLAMINA;34;FEMENINO;SOLTERO;COMERCIANTE
8323;23/05/2014;SUCRE;URBANA;CASAS DE HABITACION;SIN EMPLEO DE ARMAS;33;MASCULINO;UNION LIBRE;EMPLEADO PARTICULAR
1723;29/01/2014;ATLÁNTICO;URBANA;DENTRO DE LA VIVIENDA;SIN EMPLEO DE ARMAS;55;FEMENINO;VIUDO;AMA DE CASA
14578;09/09/2014;META;URBANA;DENTRO DE LA VIVIENDA;CONTUNDENTES;44;FEMENINO;UNION LIBRE;EMPLEADO PARTICULAR
15611;25/09/2014;CUNDINAMARCA;URBANA;APARTAMENTO;CONTUNDENTES;62;FEMENINO;SOLTERO;INDEPENDIENTE
17298;23/10/2014;SANTANDER;URBANA;CASAS DE HABITACION;CONTUNDENTES;46;MASCULINO;UNION LIBRE;EMPLEADO PUBLICO
3185;21/02/2014;CUNDINAMARCA;URBANA;APARTAMENTO EN CONJUNTO CERRADO;CONTUNDENTES;62;MASCULINO;SEPARADO;PENSIONADO
10438;02/07/2014;TOLIMA;RURAL;VIAS PUBLICAS;ARMA DE FUEGO;51;MASCULINO;CASADO;AGRICULTOR
7521;10/05/2014;CUNDINAMARCA;URBANA;CASAS DE HABITACION;CONTUNDENTES;41;FEMENINO;CASADO;NO REPORTA
18762;21/11/2014;RISARALDA;URBANA;CASAS DE HABITACION;SIN EMPLEO DE ARMAS;30;FEMENINO;UNION LIBRE;EMPLEADO PARTICULAR
14796;12/09/2014;CUNDINAMARCA;URBANA;APARTAMENTO EN CONJUNTO CERRADO;CONTUNDENTES;31;FEMENINO;UNION LIBRE;INDEPENDIENTE
3682;02/03/2014;CALDAS;URBANA;DENTRO DE LA VIVIENDA;SIN EMPLEO DE ARMAS;50;FEMENINO;SOLTERO;INDEPENDIENTE
13677;27/08/2014;CUNDINAMARCA;URBANA;APARTAMENTO;CONTUNDENTES;45;FEMENINO;SOLTERO;INDEPENDIENTE
1299;21/01/2014;MAGDALENA;URBANA;CASAS DE HABITACION;CONTUNDENTES;49;FEMENINO;DIVORCIADO;EMPLEADO PARTICULAR
3409;25/02/2014;CHOCÓ;URBANA;DENTRO DE LA VIVIENDA;ARMA DE FUEGO;32;MASCULINO;UNION LIBRE;EMPLEADO PARTICULAR
18354;13/11/2014;CUNDINAMARCA;URBANA;CASAS DE HABITACION;CONTUNDENTES;51;FEMENINO;SOLTERO;EMPLEADO PARTICULAR
1648;27/01/2014;CUNDINAMARCA;URBANA;CASA EN CONJUNTO CERRADO;SIN EMPLEO DE ARMAS;28;FEMENINO;CASADO;COMERCIANTE
1554;25/01/2014;SANTANDER;URBANA;CASAS DE HABITACION;SIN EMPLEO DE ARMAS;30;MASCULINO;SOLTERO;EMPLEADO PARTICULAR
8552;28/05/2014;BOLÍVAR;URBANA;CASAS DE HABITACION;ARMA DE FUEGO;33;FEMENINO;CASADO;AMA DE CASA
1098;18/01/2014;CAQUETÁ;URBANA;CASAS DE HABITACION;SIN EMPLEO DE ARMAS;36;MASCULINO;SEPARADO;INDEPENDIENTE
